Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
Crucial BX100,120GB 250GB 500GB 1TB,MLC,2.5,SATA 6 Gbps,2014,SM2246EN,Yes,535/450 MB/s,87000/70000 IOPS,72TBW,https://www.techpowerup.com/ssd-specs/crucial-bx100-1-tb.d105
Crucial BX200,240GB 480GB 960GB,TLC,2.5,SATA 6 Gbps,2015,SM2256G,Yes,540/490 MB/s,66000/78000 IOPS,72TBW,https://www.techpowerup.com/ssd-specs/crucial-bx200-960-gb.d101
Crucial BX300,120GB 240GB 480GB,MLC,2.5,SATA 6 Gbps,2017,SM2258H,Yes,555/510 MB/s,95000/90000 IOPS,160TBW,https://www.techpowerup.com/ssd-specs/crucial-bx300-480-gb.d98
Crucial BX500 (Micron B16A),240GB 480GB,TLC,2.5,SATA 6 Gbps,2018,SM2258XT,No,540/500 MB/s,Unknown IOPS,120TBW,https://www.techpowerup.com/ssd-specs/crucial-bx500-480-gb.d92
Crucial BX500 (Micron B17A),120GB 240GB 480GB 960GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2018,SM2259XT,No,540/500 MB/s,Unknown IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-bx500-1-tb.d94
Crucial BX500 (Micron B27A),240GB 480GB 960GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2018,SM2259XT,No,540/500 MB/s,Unknown IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-bx500-1-tb.d960
Crucial BX500 (Micron B37R),240GB 480GB 960GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2018,SM2259XT,No,540/500 MB/s,Unknown IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-bx500-1-tb.d967
Crucial BX500 (Micron B47R),240GB,TLC,2.5,SATA 6 Gbps,2018,SM2259XT,No,540/500 MB/s,Unknown IOPS,80TBW,https://www.techpowerup.com/ssd-specs/crucial-bx500-240-gb.d1477
Crucial BX500 (Micron N18A),1TB 2TB,QLC,2.5,SATA 6 Gbps,2018,SM2259XT,No,540/500 MB/s,Unknown IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-bx500-1-tb.d962
Crucial BX500 (Micron N28A),1TB 2TB,QLC,2.5,SATA 6 Gbps,2022,SM2259XT,No,540/500 MB/s,Unknown IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-bx500-1-tb.d1252
Crucial BX500 (Micron N48R),500GB 1TB,QLC,2.5,SATA 6 Gbps,2022,SM2259XT2,No,540/500 MB/s,Unknown IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-bx500-1-tb.d1180
Crucial BX500 (SpecTek B16A),120GB,TLC,2.5,SATA 6 Gbps,2018,SM2258XT,No,540/500 MB/s,Unknown IOPS,40TBW,https://www.techpowerup.com/ssd-specs/crucial-bx500-120-gb.d90
Crucial E100,480GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2025,SM2268XT,HMB,5000/3000 MB/s,Unknown IOPS,80TBW,https://www.techpowerup.com/ssd-specs/crucial-e100-1-tb.d2307
Crucial M4,64GB 128GB 256GB 512GB,MLC,2.5,SATA 6 Gbps,2011,88SS9174,Yes,500/260 MB/s,45000/50000 IOPS,72TBW,https://www.techpowerup.com/ssd-specs/crucial-m4-512-gb.d1288
Crucial MX100,128GB 256GB 512GB,MLC,2.5,SATA 6 Gbps,2014,88SS9189,Yes,550/500 MB/s,90000/85000 IOPS,72TBW,https://www.techpowerup.com/ssd-specs/crucial-mx100-512-gb.d89
Crucial MX200,250GB 500GB 1TB,MLC,2.5,SATA 6 Gbps,2015,88SS9189,Yes,550/500 MB/s,100000/87000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/crucial-mx200-1-tb.d86
Crucial MX300,275GB 525GB 750GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2016,88SS1074,Yes,530/510 MB/s,92000/83000 IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-mx300-1-tb.d82
Crucial MX500 (Micron B16A),250GB 500GB 500GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2018,SM2258H,Yes,560/510 MB/s,95000/90000 IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-mx500-1-tb.d77
Crucial MX500 (Micron B17A),250GB 500GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2018,SM2258H,Yes,560/510 MB/s,95000/90000 IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-mx500-1-tb.d934
Crucial MX500 (Micron B27A),250GB 500GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2018,SM2258H,Yes,560/510 MB/s,95000/90000 IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-mx500-1-tb.d941
Crucial MX500 (Micron B37R),250GB 500GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2018,SM2259H,Yes,560/510 MB/s,95000/90000 IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-mx500-1-tb.d945
Crucial MX500 (Micron B47R),250GB 500GB 1TB 2TB 4TB,TLC,2.5,SATA 6 Gbps,2022,SM2259H,Yes,560/510 MB/s,95000/90000 IOPS,360TBW,https://www.techpowerup.com/ssd-specs/crucial-mx500-1-tb.d949
Crucial P1,500GB 1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2018,SM2263EN,Yes,2000/1700 MB/s,170000/240000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/crucial-p1-1-tb.d118
Crucial P2 (Micron B16A),250GB 500GB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E13,HMB,2300/940 MB/s,95000/215000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/crucial-p2-500-gb.d114
Crucial P2 (Micron B27A),1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E13,HMB,2400/1800 MB/s,430000/430000 IOPS,450TBW,https://www.techpowerup.com/ssd-specs/crucial-p2-1-tb.d115
Crucial P2 (Micron N28A),1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2021,Phison E13,HMB,2400/1800 MB/s,430000/430000 IOPS,450TBW,https://www.techpowerup.com/ssd-specs/crucial-p2-1-tb.d987
Crucial P3,500GB 1TB 2TB 4TB,QLC,M.2 2280,PCIe 3.0 x4,2022,Phison E21T,HMB,3500/3000 MB/s,Unknown IOPS,220TBW,https://www.techpowerup.com/ssd-specs/crucial-p3-1-tb.d828
Crucial P3 Plus (Micron B58R FortisFlash),500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,5000/3600 MB/s,Unknown IOPS,220TBW,https://www.techpowerup.com/ssd-specs/crucial-p3-plus-1-tb.d2160
Crucial P3 Plus (Micron N48R FortisFlash),500GB 1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,5000/3600 MB/s,Unknown IOPS,220TBW,https://www.techpowerup.com/ssd-specs/crucial-p3-plus-1-tb.d825
Crucial P310,1TB 2TB,QLC,M.2 2230,PCIe 4.0 x4,2024,Phison E27T,HMB,7100/6000 MB/s,1000000/1200000 IOPS,220TBW,https://www.techpowerup.com/ssd-specs/crucial-p310-1-tb.d2073
Crucial P5,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,DM01B2,Yes,3400/3000 MB/s,390000/500000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/crucial-p5-1-tb.d111
Crucial P5 Plus,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,DM02A1,Yes,6600/5000 MB/s,630000/700000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/crucial-p5-plus-1-tb.d107
Crucial P510,2TB,TLC,M.2 2280,PCIe 5.0 x4,2025,Phison E31T,HMB,11000/9500 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/crucial-p510-2-tb.d2278
Crucial T500,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E25,Yes,7300/6800 MB/s,1150000/1440000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/crucial-t500-1-tb.d1771
Crucial T500 (w/ Heatsink),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E25,Yes,7300/6800 MB/s,1150000/1440000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/crucial-t500-w-heatsink-1-tb.d1772
Crucial T700,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,11500/9500 MB/s,1200000/1500000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/crucial-t700-1-tb.d1463
Crucial T700 (w/ Heatsink),1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,11500/8500 MB/s,1200000/1500000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/crucial-t700-w-heatsink-1-tb.d1425
Crucial T700 Pro,4TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,12000/11000 MB/s,1500000/1500000 IOPS,2400TBW,https://www.techpowerup.com/ssd-specs/crucial-t700-pro-4-tb.d1857
Crucial T705,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,13600/10200 MB/s,1400000/1750000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/crucial-t705-1-tb.d1924
Crucial T705 (w/ Heatsink),1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,13600/10200 MB/s,1400000/1750000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/crucial-t705-w-heatsink-1-tb.d1928
Crucial T705 (w/ White Heatsink),2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,14500/12700 MB/s,1550000/1800000 IOPS,1200TBW,https://www.techpowerup.com/ssd-specs/crucial-t705-w-white-heatsink-2-tb.d1930
Crucial X8,500GB 1TB 2TB 4TB,QLC,M.2 2280,PCIe 3.0 x4,2019,SM2263EN,Yes,1050/1000 MB/s,64000/69000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/crucial-x8-1-tb.d1138
DapuStor Haishen3 H3000,1TB 2TB 4TB 8TB 16TB,TLC,U.2,PCIe 3.0 x4,2020,88SS1098,Yes,3500/1300 MB/s,450000/380000 IOPS,1825TBW,https://www.techpowerup.com/ssd-specs/dapustor-haishen3-h3000-1-tb.d1647
DapuStor Haishen3 H3100,800GB 1.6TB 3TB 6TB 13TB,TLC,U.2,PCIe 3.0 x4,2020,88SS1098,Yes,3500/1300 MB/s,450000/98000 IOPS,5475TBW,https://www.techpowerup.com/ssd-specs/dapustor-haishen3-h3100-800-gb.d1648
DapuStor Haishen3 H3200,3.8TB,TLC,U.2,PCIe 3.0 x4,2020,88SS1098,Yes,3500/3100 MB/s,820000/130000 IOPS,7008TBW,https://www.techpowerup.com/ssd-specs/dapustor-haishen3-h3200-3-8-tb.d1652
DapuStor Haishen5 H5100,7.5TB,TLC,U.2,PCIe 5.0 x4,2023,Bravera,Yes,14000/6300 MB/s,2800000/250000 IOPS,14016TBW,https://www.techpowerup.com/ssd-specs/dapustor-haishen5-h5100-7-5-tb.d1785
DapuStor Roalsen SSD R5100,7.5TB 15TB,TLC,U.2,PCIe 4.0 x4,2022,DP616,Yes,7400/5700 MB/s,1750000/280000 IOPS,14016TBW,https://www.techpowerup.com/ssd-specs/dapustor-roalsen-ssd-r5100-7-5-tb.d2169
DapuStor Roealsen5 R5110 (Kioxia BiCS4 eTLC),3.8TB,TLC,Add-In Card,PCIe 4.0 x8,Unknown,DP616,Yes,9600/5200 MB/s,1720000/270000 IOPS,7008TBW,https://www.techpowerup.com/ssd-specs/dapustor-roealsen5-r5110-3-8-tb.d1659
DapuStor Roealsen5 R5110 (Kioxia BiCS5 eTLC),7.5TB,TLC,Add-In Card,PCIe 4.0 x8,Unknown,DP616,Yes,12700/5900 MB/s,1850000/300000 IOPS,14016TBW,https://www.techpowerup.com/ssd-specs/dapustor-roealsen5-r5110-7-5-tb.d1660
DapuStor Roealsen5 R5310 (Kioxia BiCS4 eTLC),3TB,TLC,Add-In Card,PCIe 4.0 x8,Unknown,DP616,Yes,9600/5200 MB/s,1720000/530000 IOPS,17520TBW,https://www.techpowerup.com/ssd-specs/dapustor-roealsen5-r5310-3-tb.d1661
DapuStor Roealsen5 R5310 (Kioxia BiCS5 eTLC),6TB,TLC,Add-In Card,PCIe 4.0 x8,Unknown,DP616,Yes,12700/5900 MB/s,1850000/570000 IOPS,35040TBW,https://www.techpowerup.com/ssd-specs/dapustor-roealsen5-r5310-6-tb.d1662
DapuStor Xlenstor X2900,800GB 1.6TB,SLC,U.2,PCIe 4.0 x4,2021,DP616,Yes,7300/6800 MB/s,1750000/570000 IOPS,87600TBW,https://www.techpowerup.com/ssd-specs/dapustor-xlenstor-x2900-800-gb.d1663
Dera D7436,1.9TB 3.8TB 7.5TB 15TB,TLC,U.2,PCIe 4.0 x4,Unknown,EMEI,Yes,7100/4800 MB/s,1600000/270000 IOPS,3504TBW,https://www.techpowerup.com/ssd-specs/dera-d7436-1-9-tb.d1688
Dera D7456,1.6TB 3TB 6TB 13TB,TLC,U.2,PCIe 4.0 x4,Unknown,EMEI,Yes,7100/4800 MB/s,1600000/520000 IOPS,8760TBW,https://www.techpowerup.com/ssd-specs/dera-d7456-1-6-tb.d1692
Digifast Ace,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12S,Yes,3470/3000 MB/s,600000/600000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/digifast-ace-1-tb.d1110
Digifast Knight,512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3470/3000 MB/s,600000/600000 IOPS,1665TBW,https://www.techpowerup.com/ssd-specs/digifast-knight-1-tb.d1115
Digma Meta P7,512GB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E27T,HMB,6400/4300 MB/s,530000/750000 IOPS,300TBW,https://www.techpowerup.com/ssd-specs/digma-meta-p7-512-gb.d1792
Digma Top G3,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,IG5236,Yes,7400/5500 MB/s,330000/560000 IOPS,2000TBW,https://www.techpowerup.com/ssd-specs/digma-top-g3-1-tb.d1448
Drevo D1 Extreme,256GB 512GB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,3100/1600 MB/s,340000/250000 IOPS,380TBW,https://www.techpowerup.com/ssd-specs/drevo-d1-extreme-512-gb.d1117
Enmotus FuzeDrive P200,900GB 1.6TB,QLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,3470/2000 MB/s,193000/394000 IOPS,750TBW,https://www.techpowerup.com/ssd-specs/enmotus-fuzedrive-p200-900-gb.d389
Fanxiang S109,1TB 2TB 4TB,TLC,2.5,SATA 6 Gbps,Unknown,SM2259H,Yes,560/480 MB/s,Unknown IOPS,800TBW,https://www.techpowerup.com/ssd-specs/fanxiang-s109-1-tb.d1870
Fanxiang S500 Pro,256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,Unknown,MAP1202A-F1C,HMB,3500/3150 MB/s,Unknown IOPS,640TBW,https://www.techpowerup.com/ssd-specs/fanxiang-s500-pro-1-tb.d1438
Fanxiang S660,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1608A-F3C,HMB,5000/4500 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/fanxiang-s660-1-tb.d1988
Fanxiang S770 (SK Hynix TLC V7 512Gb),1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/5400 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/fanxiang-s770-1-tb.d2281
Fanxiang S770 (YMTC TLC CDT1B 512Gb 128-Layers),500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/5400 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/fanxiang-s770-1-tb.d1309
Fanxiang S770M,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,IG5236,Yes,7400/5400 MB/s,Unknown IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/fanxiang-s770m-1-tb.d1599
Fanxiang S880,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7300/6500 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/fanxiang-s880-1-tb.d1589
Fanxiang S900 Pro,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,11500/8500 MB/s,1300000/1500000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/fanxiang-s900-pro-1-tb.d1774
FlumeIO F5900,3.8TB 7.5TB 15TB,TLC,U.2,PCIe 5.0 x4,2023,Bravera,Yes,14000/5800 MB/s,2600000/320000 IOPS,7008TBW,https://www.techpowerup.com/ssd-specs/flumeio-f5900-3-8-tb.d2138
FlumeIO F5901,3TB 6TB 13TB,TLC,U.2,PCIe 5.0 x4,2023,Bravera,Yes,14000/10000 MB/s,2600000/550000 IOPS,17520TBW,https://www.techpowerup.com/ssd-specs/flumeio-f5901-3-tb.d2026
Framework 16,1TB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,WD 20-82-10034-A1,Yes,6600/5000 MB/s,760000/650000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/framework-16-1-tb.d1889
Galax HOF 50 PCIe Gen5,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,9500/8500 MB/s,1300000/1100000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/galax-hof-50-pcie-gen5-1-tb.d1432
Galax HOF Extreme 50 SSD,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,9500/8500 MB/s,1300000/1100000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/galax-hof-extreme-50-ssd-1-tb.d1301
Galax HOF PCI-E SSD,512GB 1TB 2TB,TLC,Add-In Card,PCIe 3.0 x4,Unknown,Phison E12,Yes,3400/3000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/galax-hof-pci-e-ssd-1-tb.d393
Galax HOF Pro,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,3600TBW,https://www.techpowerup.com/ssd-specs/galax-hof-pro-1-tb.d391
Galax HOF Pro 20,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,Unknown,Phison E16,Yes,4900/4400 MB/s,750000/700000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/galax-hof-pro-20-1-tb.d796
Gigabyte AI TOP 100E,1TB 2TB,pSLC,M.2 2280,PCIe 4.0 x4,2024,Phison E18,Yes,7200/6500 MB/s,Unknown IOPS,109500TBW,https://www.techpowerup.com/ssd-specs/gigabyte-ai-top-100e-1-tb.d2050
Gigabyte Aorus 5000E,500GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,5000/4600 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/gigabyte-aorus-5000e-1-tb.d1165
Gigabyte Aorus Gen5 10000,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2022,Phison E26,Yes,9500/8500 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/gigabyte-aorus-gen5-10000-1-tb.d870
Gigabyte Gen3 2500E,500GB 1TB,QLC,M.2 2280,PCIe 3.0 x4,2022,Phison E13T,HMB,2400/1800 MB/s,130000/350000 IOPS,240TBW,https://www.techpowerup.com/ssd-specs/gigabyte-gen3-2500e-1-tb.d1307
Gigabyte UD Pro,256GB 512GB,TLC,2.5,SATA 6 Gbps,2018,Phison S10,Yes,530/500 MB/s,80000/75000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/gigabyte-ud-pro-512-gb.d407
Goodram PX500 (Phison E13 + Kioxia BiCS5),512GB,TLC,M.2 2280,PCIe 3.0 x4,2022,Phison E13,HMB,2000/1600 MB/s,173000/140000 IOPS,330TBW,https://www.techpowerup.com/ssd-specs/goodram-px500-512-gb.d1387
Goodram PX500 (SM2263XT + YTMC BCT1B),256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,SM2263XT,HMB,2050/1650 MB/s,171000/143000 IOPS,660TBW,https://www.techpowerup.com/ssd-specs/goodram-px500-1-tb.d1384
HighPoint Rocket 1608,16TB,TLC,Add-In Card,PCIe 5.0 x16,2024,Phison E26,Yes,56000/51000 MB/s,Unknown IOPS,Unknown (per SSD)TBW,https://www.techpowerup.com/ssd-specs/highpoint-rocket-1608-16-tb.d2066
Hikvision C100,120GB 240GB 480GB,QLC,2.5,SATA 6 Gbps,Unknown,MAS1102B-B1C,No,550/470 MB/s,63000/76000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/hikvision-c100-480-gb.d1335
Hikvision E100N (MAS1102 + YMTC BCT1B),512GB,TLC,M.2 2280,SATA 6 Gbps,2021,SM2259XT,No,550/510 MB/s,90000/75000 IOPS,140TBW,https://www.techpowerup.com/ssd-specs/hikvision-e100n-512-gb.d1401
Hikvision E100N (SM2259XT + Micron B47R),128GB 256GB 512GB 1TB,TLC,M.2 2280,SATA 6 Gbps,2021,SM2259XT,No,550/513 MB/s,92000/76000 IOPS,280TBW,https://www.techpowerup.com/ssd-specs/hikvision-e100n-1-tb.d1399
Hikvision E3000,512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,MAP1202A-F1C,HMB,3476/3137 MB/s,567000/391000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/hikvision-e3000-1-tb.d1475
Hikvision HikSemi C4000,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,7450/6600 MB/s,860000/670000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/hikvision-hiksemi-c4000-1-tb.d1245
Hikvision Hiksemi C4000ECO,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,5100/4600 MB/s,880000/880000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/hikvision-hiksemi-c4000eco-1-tb.d1248
Hikvision HikSemi CC700,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,7450/6600 MB/s,860000/670000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/hikvision-hiksemi-cc700-1-tb.d1242
Hikvision Hiksemi FUTURE,512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7450/6600 MB/s,860000/670000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/hikvision-hiksemi-future-1-tb.d1556
HippStor HP600,3TB 3.8TB 6TB 7.5TB,TLC,U.2,PCIe 4.0 x4,2023,DP616,Yes,7400/7100 MB/s,1750000/620000 IOPS,17520TBW,https://www.techpowerup.com/ssd-specs/hippstor-hp600-3-tb.d2271
HP EX900,120GB 250GB 500GB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2263XT,HMB,2100/1500 MB/s,120000/108000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/hp-ex900-500-gb.d415
HP EX920,256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,3200/1800 MB/s,350000/250000 IOPS,650TBW,https://www.techpowerup.com/ssd-specs/hp-ex920-1-tb.d412
HP EX950,512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,SM2262ENG,Yes,3500/2900 MB/s,410000/370000 IOPS,650TBW,https://www.techpowerup.com/ssd-specs/hp-ex950-1-tb.d410
HP FX700,512GB 1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7200/6200 MB/s,1040000/809000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/hp-fx700-1-tb.d1855
HP FX900,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5220,HMB,5000/4800 MB/s,828000/663 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/hp-fx900-1-tb.d813
HP FX900 Pro,512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/6400 MB/s,1014000/1079000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/hp-fx900-pro-1-tb.d792
HP S700,120GB 250GB 500GB,TLC,2.5,SATA 6 Gbps,2017,SM2258XT,No,560/515 MB/s,75000/90000 IOPS,295TBW,https://www.techpowerup.com/ssd-specs/hp-s700-500-gb.d422
HP S700 Pro,128GB 256GB 512GB 1TB,TLC,2.5,SATA 6 Gbps,2017,SM2258H,Yes,570/520 MB/s,90000/95000 IOPS,650TBW,https://www.techpowerup.com/ssd-specs/hp-s700-pro-1-tb.d418
Huawei eKitStor Xtreme 200E,512GB 1TB,QLC,M.2 2280,PCIe 4.0 x4,2024,Unknown,No,7000/6500 MB/s,900000/1000000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/huawei-ekitstor-xtreme-200e-1-tb.d2282
HyperX Fury RGB,240GB 480GB 960GB,TLC,2.5,SATA 6 Gbps,2018,88SS1074,Yes,550/480 MB/s,79000/45000 IOPS,480TBW,https://www.techpowerup.com/ssd-specs/hyperx-fury-rgb-960-gb.d325
HyperX Savage,240GB 480GB 960GB,MLC,2.5,SATA 6 Gbps,2015,Phison S10,Yes,520/490 MB/s,99000/89000 IOPS,681TBW,https://www.techpowerup.com/ssd-specs/hyperx-savage-960-gb.d327
Inland Performance Plus,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7000/6850 MB/s,650000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/inland-performance-plus-1-tb.d578
Inland Prime,500GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E15,HMB,3300/3000 MB/s,400000/480000 IOPS,400TBW,https://www.techpowerup.com/ssd-specs/inland-prime-1-tb.d699
Inland QN322,500GB 1TB 2TB,QLC,M.2 2280,PCIe 3.0 x4,2022,Phison E13T,HMB,2200/1600 MB/s,120000/280000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/inland-qn322-1-tb.d1446
Inland QN446,2TB,QLC,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,HMB,5000/3200 MB/s,480000/750000 IOPS,450TBW,https://www.techpowerup.com/ssd-specs/inland-qn446-2-tb.d1784
Inland TD510,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,10000/8500 MB/s,1200000/1500000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/inland-td510-1-tb.d1430
Inland TN436,1TB,TLC,M.2 2230,PCIe 4.0 x4,2022,Phison E19T,HMB,3400/2400 MB/s,320000/500000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/inland-tn436-1-tb.d1305
Inland TN446,512GB 1TB,TLC,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,HMB,4900/3700 MB/s,900000/600000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/inland-tn446-1-tb.d1583
Inland TN470,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,HMB,7300/6100 MB/s,900000/800000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/inland-tn470-1-tb.d1986
