Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
XPG SX8100 (Micron B17A),1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,RTS5762,Yes,3500/1900 MB/s,290000/240000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8100-1-tb.d166
XPG SX8100 (Micron N18A),4TB,QLC,M.2 2280,PCIe 3.0 x4,2019,RTS5762,Yes,3500/1900 MB/s,290000/240000 IOPS,2560TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8100-4-tb.d168
XPG SX8200 Pro (Micron B16A),256GB 512GB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,3500/2300 MB/s,390000/380000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-512-gb.d161
XPG SX8200 Pro (Micron B17A),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,3500/3000 MB/s,390000/380000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d162
XPG SX8200 Pro (Micron B27A),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,3500/3000 MB/s,390000/380000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d879
XPG SX8200 Pro (Micron B27B),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,3500/3000 MB/s,390000/380000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d877
XPG SX8200 Pro (Samsung V4),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,3500/3000 MB/s,390000/380000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d892
XPG SX8200 Pro (Samsung V6),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2022,SM2262ENG,Yes,3500/3000 MB/s,390000/380000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d926
XPG SX8200 Pro (SanDisk BiCS4),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,3500/3000 MB/s,390000/380000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d914
XPG SX8200 Pro (SK Hynix V5),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,3500/3000 MB/s,390000/380000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d910
XPG SX8200 Pro (SK Hynix V6),2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,3500/3000 MB/s,360000/360000 IOPS,1280TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-2-tb.d1329
XPG SX8200 Pro (SpecTek B27A),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,3500/3000 MB/s,390000/380000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d919
XPG SX8200 Pro (YMTC BCT1B),256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,3500/3000 MB/s,390000/380000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d923
Xraydisk SSD,1TB,TLC,2.5,SATA 6 Gbps,Unknown,YS9082HP,No,550/490 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/xraydisk-ssd-1-tb.d1573
Zadak Spark RGB,512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12,Yes,3400/3000 MB/s,Unknown/560000 IOPS,726TBW,https://www.techpowerup.com/ssd-specs/zadak-spark-rgb-1-tb.d251
Zadak TWSG3,128GB 256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,IG5216,HMB,3500/3200 MB/s,Unknown/360000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/zadak-twsg3-1-tb.d256
Zadak TWSG4S (MAP1602 + YMTC EET1A),2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7400/7000 MB/s,1000000/1000000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/zadak-twsg4s-2-tb.d1858
Zadak TWSG4S (Phison E18 + Micron B47R),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7400/6400 MB/s,750000/1000000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/zadak-twsg4s-1-tb.d1029
Zadak TWSS3 (Kioxia BiCS4),1TB 2TB,TLC,2.5,SATA 6 Gbps,2021,SM2258XT,Yes,560/540 MB/s,Unknown/80000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/zadak-twss3-1-tb.d248
Zadak TWSS3 (YMTC),128GB 256GB 512GB,TLC,2.5,SATA 6 Gbps,2021,SM2258XT,Yes,560/540 MB/s,Unknown/80000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/zadak-twss3-512-gb.d247
Zhitai PC005 Active,1TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,3500/2900 MB/s,340000/360000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/zhitai-pc005-active-1-tb.d1995
Zhitai SC001,256GB 512GB 1TB,TLC,2.5,SATA 6 Gbps,Unknown,MAS0902A-B2C,No,520/510 MB/s,80000/70000 IOPS,340TBW,https://www.techpowerup.com/ssd-specs/zhitai-sc001-1-tb.d1633
Zhitai TiPlus7100,512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,7000/6000 MB/s,900000/700000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/zhitai-tiplus7100-1-tb.d1250
Zhitai TiPRO7000,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/5400 MB/s,830000/1050000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/zhitai-tipro7000-1-tb.d1193
Zhitai TiPro9000,2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,SM2508,Yes,14500/13800 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/zhitai-tipro9000-2-tb.d2267
Zircon L1 Series (Micron N48R),256GB 512GB,QLC,M.2 2280,SATA 6 Gbps,2023,MAS1102B-B1C,No,580/540 MB/s,58000/62500 IOPS,352TBW,https://www.techpowerup.com/ssd-specs/zircon-l1-series-512-gb.d1641
Zircon L1 Series (SK Hynix V6),128GB,TLC,M.2 2280,SATA 6 Gbps,2023,MAS1102B-B1C,No,580/540 MB/s,58000/62500 IOPS,87TBW,https://www.techpowerup.com/ssd-specs/zircon-l1-series-128-gb.d1639
Zircon R1 Series (SanDisk BiCS5),256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2023,MAP1202A-F1C,HMB,3400/3100 MB/s,330000/250000 IOPS,1536TBW,https://www.techpowerup.com/ssd-specs/zircon-r1-series-1-tb.d1636
Zircon R1 Series (SK Hynix V6),256GB,TLC,M.2 2280,PCIe 3.0 x4,2023,MAP1202A-F1C,HMB,3400/3100 MB/s,330000/250000 IOPS,384TBW,https://www.techpowerup.com/ssd-specs/zircon-r1-series-256-gb.d1638
Zircon Z1 Series (MAS0902 + Micron B27B),128GB,TLC,2.5,SATA 6 Gbps,2022,MAS0902A-B2C,No,550/500 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/zircon-z1-series-128-gb.d1653
Zircon Z1 Series (MAS1102 + Micron N48R),256GB 512GB,QLC,2.5,SATA 6 Gbps,2022,MAS1102B-B1C,No,550/500 MB/s,32650/12150 IOPS,80TBW,https://www.techpowerup.com/ssd-specs/zircon-z1-series-512-gb.d1654
